Timestampe, Temperatura, Umiditate, Nivel UV, Toluen, Acetona, Amoniac, Alcool, Hidrogen, Dioxid de Carbon
0.02,26.8,57.5,1,169.03,148.52,133.69,655.79,130.46,777.54
0.6,26.8,57.5,1,169.03,148.52,133.69,655.79,130.46,777.54
1.18,26.8,57.5,1,169.03,148.52,133.69,655.79,130.46,777.54
1.76,26.8,57.5,1,171.56,149.83,135.66,661.91,132.99,784.81
2.33,26.9,57.5,1,171.56,149.83,135.66,661.91,132.99,784.81
2.92,26.9,57.5,1,169.03,148.52,133.69,655.79,130.46,777.54
3.49,26.9,57.5,1,171.56,149.83,135.66,661.91,132.99,784.81
4.07,26.9,57.5,1,166.47,147.2,131.7,649.62,127.9,770.2
4.65,26.9,57.4,1,166.47,147.2,131.7,649.62,127.9,770.2
5.23,26.9,57.4,1,163.88,145.86,129.69,643.38,125.31,762.78
5.81,26.9,57.4,1,161.27,144.51,127.66,637.07,122.7,755.29
6.39,26.9,57.4,1,161.27,144.51,127.66,637.07,122.7,755.29
6.97,26.9,57.4,1,158.63,143.14,125.6,630.7,120.06,747.72
7.55,26.9,57.4,1,155.97,141.76,123.53,624.27,117.4,740.07
8.13,26.9,57.4,1,153.27,140.36,121.43,617.76,114.7,732.34
8.7,26.9,57.4,1,150.55,138.95,119.32,611.19,111.98,724.53
9.28,26.9,57.4,1,150.55,138.95,119.32,611.19,111.98,724.53
9.86,26.9,57.4,1,150.55,138.95,119.32,611.19,111.98,724.53
10.44,26.9,57.4,1,142.2,134.63,112.83,591.04,103.63,700.59
11.02,26.9,57.4,1,142.2,134.63,112.83,591.04,103.63,700.59
11.6,26.9,57.3,1,142.2,134.63,112.83,591.04,103.63,700.59
12.18,26.9,57.3,1,139.36,133.16,110.61,584.18,100.79,692.43
12.76,26.9,57.3,1,136.49,131.67,108.38,577.25,97.92,684.19
13.33,26.9,57.3,1,133.58,130.17,106.12,570.24,95.01,675.86
13.91,26.9,57.3,1,133.58,130.17,106.12,570.24,95.01,675.86
14.49,26.9,57.3,1,127.68,127.11,101.53,555.99,89.11,658.92
15.07,26.9,57.3,1,127.68,127.11,101.53,555.99,89.11,658.92
15.64,26.9,57.3,1,124.68,125.56,99.19,548.74,86.11,650.31
16.22,26.9,57.3,1,124.68,125.56,99.19,548.74,86.11,650.31
16.8,26.9,57.3,1,121.64,123.99,96.83,541.42,83.07,641.6
17.37,26.9,57.3,1,118.57,122.4,94.45,534.01,80,632.8
17.95,26.9,57.3,1,115.47,120.79,92.03,526.52,76.9,623.89
18.53,26.9,57.2,1,115.47,120.79,92.03,526.52,76.9,623.89
19.1,26.9,57.2,1,112.33,119.17,89.59,518.94,73.76,614.89
19.68,26.9,57.2,1,109.16,117.52,87.12,511.27,70.58,605.78
20.26,26.9,57.2,1,109.16,117.52,87.12,511.27,70.58,605.78
20.83,26.9,57.2,1,109.16,117.52,87.12,511.27,70.58,605.78
21.41,26.9,57.2,1,105.94,115.86,84.62,503.52,67.37,596.56
21.99,26.9,57.2,1,102.7,114.18,82.1,495.68,64.12,587.24
22.56,26.9,57.2,1,102.7,114.18,82.1,495.68,64.12,587.24
23.14,26.9,57.2,1,102.7,114.18,82.1,495.68,64.12,587.24
23.72,26.9,57.2,1,96.08,110.75,76.95,479.72,57.51,568.28
24.29,26.9,57.2,1,96.08,110.75,76.95,479.72,57.51,568.28
24.87,26.9,57.2,1,92.72,109.01,74.34,471.6,54.15,558.63
25.44,27,57.2,1,92.72,109.01,74.34,471.6,54.15,558.63
26.02,27,57.2,1,92.72,109.01,74.34,471.6,54.15,558.63
26.59,27,57.2,1,89.32,107.25,71.69,463.39,50.75,548.86
27.17,27,57.2,1,89.32,107.25,71.69,463.39,50.75,548.86
27.75,26.9,57.1,1,92.72,109.01,74.34,471.6,54.15,558.63
28.32,26.9,57.1,1,85.87,105.47,69.01,455.07,47.3,538.98
28.9,26.9,57.1,1,82.39,103.66,66.3,446.66,43.82,528.98
29.47,26.9,57.1,1,82.39,103.66,66.3,446.66,43.82,528.98
30.05,27,57.1,1,78.86,101.84,63.56,438.14,40.29,518.86
30.62,27,57.1,1,78.86,101.84,63.56,438.14,40.29,518.86
31.2,27,57.1,1,78.86,101.84,63.56,438.14,40.29,518.86
31.77,27,57.1,1,75.29,99.99,60.78,429.53,36.72,508.62
32.35,27,57.1,1,75.29,99.99,60.78,429.53,36.72,508.62
32.92,27,57.1,1,75.29,99.99,60.78,429.53,36.72,508.62
33.5,27,57.1,1,71.68,98.12,57.97,420.8,33.1,498.25
34.07,27,57.1,1,71.68,98.12,57.97,420.8,33.1,498.25
34.64,27,57.1,1,71.68,98.12,57.97,420.8,33.1,498.25
35.22,27,57.1,1,68.02,96.22,55.12,411.97,29.45,487.75
35.79,27,57.1,1,68.02,96.22,55.12,411.97,29.45,487.75
36.37,27,57.1,1,64.31,94.3,52.24,403.03,25.74,477.13
36.94,27,57.1,1,68.02,96.22,55.12,411.97,29.45,487.75
37.52,27,57.1,1,64.31,94.3,52.24,403.03,25.74,477.13
38.09,27,57.1,1,64.31,94.3,52.24,403.03,25.74,477.13
38.67,27,57.1,1,64.31,94.3,52.24,403.03,25.74,477.13
39.24,27,57.2,1,68.02,96.22,55.12,411.97,29.45,487.75
39.82,27,57.2,1,60.56,92.36,49.33,393.98,21.99,466.37
40.39,27,57.2,1,60.56,92.36,49.33,393.98,21.99,466.37
40.96,27,57.2,1,60.56,92.36,49.33,393.98,21.99,466.37
41.54,27,57.2,1,60.56,92.36,49.33,393.98,21.99,466.37
42.11,27,57.2,1,60.56,92.36,49.33,393.98,21.99,466.37
42.69,27,57.2,1,56.77,90.4,46.38,384.82,18.2,455.48
43.26,27,57.2,1,56.77,90.4,46.38,384.82,18.2,455.48
43.83,27,57.3,1,56.77,90.4,46.38,384.82,18.2,455.48
44.41,27,57.3,1,56.77,90.4,46.38,384.82,18.2,455.48
44.99,27,57.3,1,56.77,90.4,46.38,384.82,18.2,455.48
45.56,27,57.3,1,52.92,88.41,43.39,375.54,14.35,444.46
46.13,27.1,57.3,1,56.77,90.4,46.38,384.82,18.2,455.48
46.71,27.1,57.3,1,52.92,88.41,43.39,375.54,14.35,444.46
47.28,27.1,57.3,1,52.92,88.41,43.39,375.54,14.35,444.46
47.86,27.1,57.3,1,52.92,88.41,43.39,375.54,14.35,444.46
48.43,27,57.3,1,52.92,88.41,43.39,375.54,14.35,444.46
49.01,27,57.3,1,52.92,88.41,43.39,375.54,14.35,444.46
49.58,27,57.3,1,49.03,86.39,40.36,366.15,10.46,433.29
50.15,27,57.3,1,49.03,86.39,40.36,366.15,10.46,433.29
50.73,27.1,57.2,1,49.03,86.39,40.36,366.15,10.46,433.29
51.3,27.1,57.2,1,49.03,86.39,40.36,366.15,10.46,433.29
51.88,27.1,57.2,1,49.03,86.39,40.36,366.15,10.46,433.29
52.45,27.1,57.2,1,49.03,86.39,40.36,366.15,10.46,433.29
53.02,27.1,57.2,1,49.03,86.39,40.36,366.15,10.46,433.29
53.6,27.1,57.2,1,49.03,86.39,40.36,366.15,10.46,433.29
54.17,27.1,57.2,1,45.09,84.35,37.29,356.63,6.52,421.98
54.75,27.1,57.2,1,45.09,84.35,37.29,356.63,6.52,421.98
55.32,27.1,57.2,1,45.09,84.35,37.29,356.63,6.52,421.98
55.9,27.1,57.2,1,52.92,88.41,43.39,375.54,14.35,444.46
56.47,27.1,57.2,1,45.09,84.35,37.29,356.63,6.52,421.98
57.04,27.1,57.2,1,45.09,84.35,37.29,356.63,6.52,421.98
57.61,27.1,57.2,1,45.09,84.35,37.29,356.63,6.52,421.98
58.19,27.1,57.2,1,45.09,84.35,37.29,356.63,6.52,421.98
58.76,27.1,57.2,1,45.09,84.35,37.29,356.63,6.52,421.98
59.33,27.1,57.2,1,41.1,82.28,34.19,346.99,2.53,410.52
59.91,27.1,57.2,1,41.1,82.28,34.19,346.99,2.53,410.52
60.48,27.1,57.2,1,45.09,84.35,37.29,356.63,6.52,421.98
61.05,27.1,57.2,1,41.1,82.28,34.19,346.99,2.53,410.52
61.63,27.1,57.2,1,41.1,82.28,34.19,346.99,2.53,410.52
62.2,27.1,57.2,1,41.1,82.28,34.19,346.99,2.53,410.52
62.77,27.1,57.2,1,41.1,82.28,34.19,346.99,2.53,410.52
63.35,27.1,57.2,1,41.1,82.28,34.19,346.99,2.53,410.52
63.92,27.1,57.2,1,37.05,80.19,31.04,337.23,-1.52,398.92
64.49,27.1,57.2,1,45.09,84.35,37.29,356.63,6.52,421.98
65.07,27.1,57.2,1,41.1,82.28,34.19,346.99,2.53,410.52
65.64,27.1,57.2,1,41.1,82.28,34.19,346.99,2.53,410.52
66.21,27.1,57.2,1,41.1,82.28,34.19,346.99,2.53,410.52
66.79,27.1,57.2,1,41.1,82.28,34.19,346.99,2.53,410.52
67.36,27.1,57.2,1,37.05,80.19,31.04,337.23,-1.52,398.92
67.93,27.1,57.2,1,41.1,82.28,34.19,346.99,2.53,410.52
68.51,27.1,57.2,1,37.05,80.19,31.04,337.23,-1.52,398.92
69.08,27.1,57.2,1,41.1,82.28,34.19,346.99,2.53,410.52
69.66,27.1,57.2,1,37.05,80.19,31.04,337.23,-1.52,398.92
70.23,27.1,57.2,1,37.05,80.19,31.04,337.23,-1.52,398.92
70.8,27.1,57.2,1,37.05,80.19,31.04,337.23,-1.52,398.92
71.38,27.1,57.2,1,37.05,80.19,31.04,337.23,-1.52,398.92
71.95,27.1,57.2,1,37.05,80.19,31.04,337.23,-1.52,398.92
72.53,27.1,57.2,1,41.1,82.28,34.19,346.99,2.53,410.52
73.1,27.1,57.2,1,37.05,80.19,31.04,337.23,-1.52,398.92
73.67,27.2,57.1,1,37.05,80.19,31.04,337.23,-1.52,398.92
74.25,27.2,57.1,1,37.05,80.19,31.04,337.23,-1.52,398.92
74.82,27.2,57.1,1,32.96,78.07,27.85,327.34,-5.62,387.17
75.4,27.2,57.1,1,32.96,78.07,27.85,327.34,-5.62,387.17
75.97,27.2,57.1,1,37.05,80.19,31.04,337.23,-1.52,398.92
76.55,27.2,57.1,1,32.96,78.07,27.85,327.34,-5.62,387.17
77.12,27.2,57.1,1,32.96,78.07,27.85,327.34,-5.62,387.17
77.69,27.2,57.1,1,32.96,78.07,27.85,327.34,-5.62,387.17
78.27,27.2,57,1,32.96,78.07,27.85,327.34,-5.62,387.17
78.84,27.2,57,1,32.96,78.07,27.85,327.34,-5.62,387.17
79.42,27.2,57,1,32.96,78.07,27.85,327.34,-5.62,387.17
79.99,27.2,57,1,32.96,78.07,27.85,327.34,-5.62,387.17
80.56,27.2,57,1,32.96,78.07,27.85,327.34,-5.62,387.17
81.14,27.2,57,1,28.81,75.92,24.63,317.32,-9.77,375.26
81.71,27.2,57,1,32.96,78.07,27.85,327.34,-5.62,387.17
82.29,27.2,57,1,32.96,78.07,27.85,327.34,-5.62,387.17
82.86,27.2,57,1,32.96,78.07,27.85,327.34,-5.62,387.17
83.44,27.2,57,1,28.81,75.92,24.63,317.32,-9.77,375.26
84.01,27.2,57,1,32.96,78.07,27.85,327.34,-5.62,387.17
84.58,27.2,57,1,28.81,75.92,24.63,317.32,-9.77,375.26
85.16,27.2,56.9,1,28.81,75.92,24.63,317.32,-9.77,375.26
85.73,27.2,56.9,1,28.81,75.92,24.63,317.32,-9.77,375.26
86.31,27.2,56.9,1,28.81,75.92,24.63,317.32,-9.77,375.26
86.88,27.2,56.9,1,28.81,75.92,24.63,317.32,-9.77,375.26
87.45,27.2,57,1,28.81,75.92,24.63,317.32,-9.77,375.26
88.03,27.2,57,1,28.81,75.92,24.63,317.32,-9.77,375.26
88.6,27.2,57,1,24.6,73.74,21.36,307.17,-13.97,363.2
89.18,27.2,57,1,28.81,75.92,24.63,317.32,-9.77,375.26
89.75,27.2,56.9,1,28.81,75.92,24.63,317.32,-9.77,375.26
90.33,27.2,56.9,1,28.81,75.92,24.63,317.32,-9.77,375.26
90.9,27.2,56.9,1,28.81,75.92,24.63,317.32,-9.77,375.26
91.47,27.2,56.9,1,28.81,75.92,24.63,317.32,-9.77,375.26
92.05,27.2,56.9,1,28.81,75.92,24.63,317.32,-9.77,375.26
92.62,27.2,56.9,1,24.6,73.74,21.36,307.17,-13.97,363.2
93.2,27.2,56.9,1,24.6,73.74,21.36,307.17,-13.97,363.2
93.77,27.2,56.9,1,24.6,73.74,21.36,307.17,-13.97,363.2
94.35,27.3,56.8,1,28.81,75.92,24.63,317.32,-9.77,375.26
94.93,27.3,56.8,1,28.81,75.92,24.63,317.32,-9.77,375.26
95.5,27.3,56.8,1,32.96,78.07,27.85,327.34,-5.62,387.17
96.07,27.3,56.8,1,24.6,73.74,21.36,307.17,-13.97,363.2
96.65,27.3,56.8,1,28.81,75.92,24.63,317.32,-9.77,375.26
97.22,27.3,56.8,1,24.6,73.74,21.36,307.17,-13.97,363.2
97.8,27.3,56.8,1,20.34,71.54,18.04,296.89,-18.23,350.97
98.37,27.3,56.8,1,24.6,73.74,21.36,307.17,-13.97,363.2
98.95,27.3,56.8,1,24.6,73.74,21.36,307.17,-13.97,363.2
99.53,27.3,56.8,1,24.6,73.74,21.36,307.17,-13.97,363.2
100.1,27.3,56.8,1,24.6,73.74,21.36,307.17,-13.97,363.2
100.68,27.3,56.8,1,20.34,71.54,18.04,296.89,-18.23,350.97
101.25,27.3,56.7,1,24.6,73.74,21.36,307.17,-13.97,363.2
101.83,27.3,56.7,1,24.6,73.74,21.36,307.17,-13.97,363.2
102.4,27.3,56.7,1,24.6,73.74,21.36,307.17,-13.97,363.2
102.98,27.3,56.7,1,24.6,73.74,21.36,307.17,-13.97,363.2
103.55,27.3,56.7,1,24.6,73.74,21.36,307.17,-13.97,363.2
104.13,27.3,56.7,1,24.6,73.74,21.36,307.17,-13.97,363.2
104.7,27.3,56.7,1,24.6,73.74,21.36,307.17,-13.97,363.2
105.28,27.3,56.7,1,24.6,73.74,21.36,307.17,-13.97,363.2
105.85,27.3,56.7,1,24.6,73.74,21.36,307.17,-13.97,363.2
106.43,27.3,56.7,1,20.34,71.54,18.04,296.89,-18.23,350.97
107,27.3,56.7,1,24.6,73.74,21.36,307.17,-13.97,363.2
107.58,27.3,56.7,1,20.34,71.54,18.04,296.89,-18.23,350.97
